,customer_age,vendor_count,product_count,is_chain,first_order,last_order,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken_Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle_Dishes,CUI_OTHER,CUI_Street_Food/Snacks,CUI_Thai,Total_Orders_Per_Client,mnt,mnt_Per_Order,Items_Per_Order,frq,rcn,activity,CUI_diversity,Loyalty,Recency_Score,Frequency_Score,Monetary_Score,CLV_Score,Orders_Night,Orders_Dawn,Orders_Morning,Orders_Afternoon,Orders_Evening,Orders_Dusk
CUI_Thai,-0.005853758486983194,0.16934776609737384,0.23791750123363828,0.1813641593917825,-0.08653032243091933,0.08481983172356947,0.055161388823044576,-0.028420644639124498,-0.02056027064515417,0.0924711470944075,0.08760071027550055,0.08369257602799816,-0.02438036136222304,0.03396790283473569,0.0754744143828726,0.07629664078907225,0.05151095325248563,0.03833443297370214,0.15357295569676682,-0.0423726854058561,1.0,0.23026387846160354,0.1912362211685536,-0.041666409422550954,0.008980016896395184,-0.05621417229754413,-0.0848198317235691,0.1376662334099043,0.1950786004224463,0.13291220761335584,0.08428191932847794,-0.05621417229754413,0.1912362211685577,0.06493968984630154,-0.040016904995557996,-0.02877550448950353,0.12060113332131761,0.1708460109719081,0.26257857929267975,0.056377929387208404
Total_Orders_Per_Client,0.003919572622243972,0.8422433939592794,0.964990015259748,0.866973279175479,-0.377043444295015,0.3618611621940222,0.3346403446051644,0.27675968955793867,0.21447284842918476,0.27245063212492693,0.2623966050771022,0.2887800755393202,0.11004036682996352,0.17809550846368236,0.2246410290154639,0.26234235939587974,0.25196120431777774,0.2249795259919251,0.43535542677290934,0.10310321995488846,0.23026387846160354,1.0,0.7339296704232132,-0.16902255975259745,-0.0039797648991370975,-0.24920153828536606,-0.36186116219402065,0.593832064835228,0.7199049130984918,0.4810483519780451,0.3247437941244021,-0.24920153828536606,0.7339296704231991,0.22512839981220503,0.20089512117777605,0.23873543634657673,0.6745894688958489,0.6862757114145693,0.6893515646907551,0.40225628894331206
mnt,0.008911730395459795,0.6495288680410004,0.8242883492688371,0.5017098718894203,-0.2831354389609593,0.30158374629423657,0.3928082925229957,0.6138862401830838,0.24798909926184967,0.260579223890408,0.07794023244398636,0.26825219364612213,0.2134561873245621,0.1940554015742685,0.18296434311477777,0.2475522746784762,0.3455472600896839,0.1201575824529168,0.321381859392419,0.424510225357545,0.1912362211685536,0.7339296704232132,1.0,0.2883925333420956,0.3016379186256869,-0.20321214041683222,-0.3015837462942351,0.4692125387804402,0.4792454480438051,0.34507354825826697,0.2620840774506215,-0.20321214041683222,1.000000000000003,0.27648156319217715,0.34481745960835253,0.3937873537997703,0.5442758542352096,0.45459269980480826,0.38329207140367283,0.1816839471152289
mnt_Per_Order,0.000946108043320562,-0.16325369016832086,-0.05208623349525512,-0.23504123656926063,0.16011729065557803,-0.10301801105701891,0.049833686121999836,0.291817668465521,0.0944038400715545,-0.017250733247049597,-0.12927688984299693,-0.016617189810291057,0.0935638668782416,0.009448262897613306,-0.008361834170940923,-0.025612249332286136,0.07551946817992794,-0.06903809095931397,-0.06472758669528947,0.38567357171761546,-0.041666409422550954,-0.16902255975259745,0.2883925333420956,1.0,0.7279020289556527,0.220674069416629,0.10301801105701817,-0.21267083050995206,-0.2305799168774632,-0.16543329857892272,-0.05334843201115145,0.220674069416629,0.2883925333420954,0.19418055070500326,0.11159798485578175,0.11524308469860227,-0.057774360450918064,-0.1490942864788433,-0.21941751560356088,-0.1649788045661967
Items_Per_Order,0.0005989514441339735,0.006873538959093085,0.14923579187629826,-0.029339231081211854,0.027884693744540466,-0.02591881593938608,0.03938217370361257,0.18563319192101352,0.08382663073789125,0.01902312573968081,0.010579532743698206,0.0768240928970155,0.05680758586197292,-0.00036626121370528296,0.05838574132310364,0.011521898373676535,0.0702782395242511,0.11432782967871881,0.07512193599367294,0.30736523234573937,0.008980016896395184,-0.0039797648991370975,0.3016379186256869,0.7279020289556527,1.0,0.08951098471983233,0.025918815939385983,-0.043259960201940034,-0.020301146138002525,-0.03913375186062842,-0.01127161226397545,0.08951098471983233,0.30163791862568756,0.1300132160576303,0.045558495400811826,0.0187379605636178,0.00368503546890241,-0.0022109457913456615,-0.03005585549437102,-0.012903454161123368
frq,-0.004212209249864166,-0.31764593915924766,-0.22868748808172928,-0.20584483177234683,0.45429230020928973,-0.4165282942719181,-0.12000766552416087,-0.11314245678889291,-0.06093640999829997,-0.023006018818024977,-0.05999268201708885,-0.03810728116280917,-0.031186862257505988,-0.04394655671313966,-0.03977573929536825,-0.08089928634119452,-0.07072303651333181,-0.039854239375218474,-0.06957275494323277,-0.04524012566980542,-0.05621417229754413,-0.24920153828536606,-0.20321214041683222,0.220674069416629,0.08951098471983233,1.0,0.4165282942719166,-0.7003089407878115,-0.3803690420614857,-0.30010354112075954,-0.15727306356756326,1.0,-0.20321214041683391,0.584973311012289,-0.0977238632007398,-0.10555873642938753,-0.14348281223940496,-0.1658297022325237,-0.16591306492805397,-0.0880580330664242
rcn,-0.014352353654602698,-0.37003683961081263,-0.3447050248076593,-0.2932936644633439,-0.22596266606959012,-0.9999999999999999,-0.1484361426040422,-0.14812583209362756,-0.07479580031630667,-0.07535991052604031,-0.0816578398241478,-0.07856911108761126,-0.05202566531557099,-0.0767829712860057,-0.07912576929406633,-0.11323379946340255,-0.11155192602213337,-0.05552844736324598,-0.14001068317063844,-0.06323181678337887,-0.0848198317235691,-0.36186116219402065,-0.3015837462942351,0.10301801105701817,0.025918815939385983,0.4165282942719166,1.0,-0.5932839563641299,-0.3670090803410099,-0.26857626885676583,-0.62072232884998,0.4165282942719166,-0.3015837462942382,-0.21477340044427692,-0.10520188271230918,-0.12627182866201053,-0.23722185854529204,-0.2486140809862079,-0.2359052084061157,-0.12363348835598241
activity,0.006273571543066382,0.6090514815845933,0.5656288712227192,0.5029784936914456,-0.650112858741529,0.5932839563641322,0.24693816680437022,0.21207995842041996,0.1261637366078414,0.11385906092606414,0.14903998152630862,0.13205649193308633,0.07675955852971147,0.1079076990294872,0.13066973850147148,0.17971764368256626,0.16300043022544072,0.11363854074629576,0.22218947350303456,0.0941142694892398,0.1376662334099043,0.593832064835228,0.4692125387804402,-0.21267083050995206,-0.043259960201940034,-0.7003089407878115,-0.5932839563641299,1.0,0.6143646642646609,0.4326545414688221,0.3793836993560978,-0.7003089407878115,0.4692125387804463,-0.13495109927614413,0.16028644555698338,0.185573785935633,0.37392938239074525,0.4061618302266387,0.4072274410575588,0.2233606525908265
CUI_diversity,-0.0008520527734153122,0.8685863940977934,0.6944038045955171,0.6946091052277098,-0.39703114139031137,0.36700908034101115,0.2094008437612741,0.12423927418833196,0.15363371879268664,0.17164118653141705,0.2588202144713595,0.20711431563948351,0.12188215789809435,0.12728283925873776,0.15707167176618825,0.08594644818020192,0.20752037965630887,0.2009225395369813,0.3273728970642392,0.07653751667278223,0.1950786004224463,0.7199049130984918,0.4792454480438051,-0.2305799168774632,-0.020301146138002525,-0.3803690420614857,-0.3670090803410099,0.6143646642646609,1.0,0.14887564663777575,0.2734170492432463,-0.3803690420614857,0.47924544804380964,0.02913458725140563,0.11398990654492033,0.14067760309610047,0.4436387872537413,0.5059484404862669,0.5284779253988278,0.3382642300140332
Loyalty,0.010545839640611267,0.1614726963692775,0.44736899869492075,0.3707377880543137,-0.2700519313241001,0.26857626885676766,0.20823770367148173,0.09030049008534943,0.05145641788872665,0.12516820583879212,0.08938936182699588,0.09802323149970703,0.0067729157388330755,0.11062504556303139,0.14149625675146973,0.28042080223405,0.12080657851257368,0.0817997916750713,0.18286108826637706,0.013169664151400357,0.13291220761335584,0.4810483519780451,0.34507354825826697,-0.16543329857892272,-0.03913375186062842,-0.30010354112075954,-0.26857626885676583,0.4326545414688221,0.14887564663777575,1.0,0.1838759821655072,-0.3001035411207596,0.3450735482582664,-0.008175666107639033,0.07060006008663237,0.06156917987961755,0.29984241310562315,0.3566352946476837,0.3837155150659266,0.1483754339402346
Recency_Score,0.016327975805606694,0.29913354898034294,0.31055161273856374,0.2681292726499289,0.1268046609266332,0.6207223288499802,0.12729430535990624,0.11135006677266077,0.06647668941258966,0.08529173720695493,0.07291817226118476,0.07777605205429933,0.04615377281896603,0.0663197150582376,0.08079232627572887,0.09745024738712091,0.0958577784877556,0.05036847095771919,0.1400292003890417,0.04839578546413025,0.08428191932847794,0.3247437941244021,0.2620840774506215,-0.05334843201115145,-0.01127161226397545,-0.15727306356756326,-0.62072232884998,0.3793836993560978,0.2734170492432463,0.1838759821655072,1.0,-0.1572730635675632,0.26208407745062606,0.6775840554387199,0.08488282583136636,0.09993124464722734,0.22200936529734522,0.2224013432441988,0.21160448044102736,0.11476538944554315
Frequency_Score,-0.004212209249864166,-0.31764593915924766,-0.22868748808172928,-0.20584483177234683,0.45429230020928973,-0.4165282942719181,-0.12000766552416087,-0.11314245678889291,-0.06093640999829997,-0.023006018818024977,-0.05999268201708885,-0.03810728116280917,-0.031186862257505988,-0.04394655671313966,-0.03977573929536825,-0.08089928634119452,-0.07072303651333181,-0.039854239375218474,-0.06957275494323277,-0.04524012566980542,-0.05621417229754413,-0.24920153828536606,-0.20321214041683222,0.220674069416629,0.08951098471983233,1.0,0.4165282942719166,-0.7003089407878115,-0.3803690420614857,-0.3001035411207596,-0.1572730635675632,1.0,-0.20321214041683391,0.584973311012289,-0.0977238632007398,-0.10555873642938753,-0.14348281223940496,-0.1658297022325237,-0.16591306492805397,-0.0880580330664242
